inspection_id,mean_ndvi
54065,0.36338403820991516
54066,0.3079068958759308
54067,0.37208878993988037
54068,0.3513520359992981
54069,0.25959667563438416
54070,0.21612548828125
54071,0.1448284089565277
54072,0.20063988864421844
54073,0.23376567661762238
54074,0.24125990271568298
54075,0.1396685093641281
54076,0.2631341218948364
54077,0.15442530810832977
54078,0.15955406427383423
54079,0.14325572550296783
54080,0.13821932673454285
54081,0.30978572368621826
54082,0.3367602229118347
54083,0.23415933549404144
54084,0.3254958987236023
54085,0.1660652756690979
54086,0.18967178463935852
54087,0.16932792961597443
54088,0.2716190814971924
54089,0.18926408886909485
54090,0.11527666449546814
54091,0.1626220941543579
54092,0.1684529036283493
54093,0.166510671377182
54094,0.22250060737133026
54095,0.19920873641967773
54096,0.20661112666130066
54097,0.2254798263311386
54098,0.22056889533996582
54099,0.22523051500320435
54100,0.261112242937088
54101,0.27046865224838257
54102,0.27116885781288147
54103,0.25626739859580994
54104,0.22149336338043213
54105,0.20857779681682587
54106,0.2675316035747528
54107,0.2893374562263489
54108,0.24090072512626648
54109,0.26127275824546814
54110,0.2836649417877197
54111,0.23818868398666382
54112,0.24773548543453217
54113,0.2556045651435852
54114,0.21321932971477509
54115,0.19173532724380493
54116,0.20263364911079407
54117,0.20857779681682587
54118,0.1979362964630127
54119,0.20801162719726562
54120,0.1360742300748825
54121,0.1573934704065323
54122,0.16900724172592163
54123,0.2622968256473541
54124,0.2584231197834015
54125,0.1362421065568924
54126,0.16197820007801056
54127,0.12178660929203033
54128,0.1637440025806427
54129,0.1320265233516693
54130,0.16882064938545227
54131,0.13749711215496063
54132,0.20401312410831451
54133,0.18611915409564972
54134,0.2309826910495758
54135,0.18437857925891876
54136,0.12252430617809296
54137,0.2461506426334381
54138,0.20485301315784454
54139,0.2332131564617157
54140,0.13841606676578522
54141,0.22663572430610657
54142,0.29185834527015686
54143,0.17951229214668274
54144,0.2271779477596283
54145,0.17265845835208893
54146,0.17959168553352356
54147,0.2292604297399521
54148,0.1903841346502304
54149,0.24176950752735138
54150,0.1596067100763321
54151,0.2784770131111145
54152,0.22706684470176697
54153,0.19171243906021118
54154,0.2511819899082184
54155,0.20313939452171326
54156,0.19981394708156586
54157,0.18312948942184448
54158,0.1707167774438858
54159,0.1473097950220108
54160,0.2952812612056732
54161,0.40086957812309265
