inspection_id,Date,year,month,status,geometry,mean_ndvi
1,2019-06-05,2019,6,Compliant,"POLYGON ((-2892.3571668612653 -371905.21656865266, -2813.17869218165 -371905.21656865266, -2813.17869218165 -371821.55740484013, -2892.3571668612653 -371821.55740484013, -2892.3571668612653 -371905.21656865266))",0.3465346693992615
2,2019-05-09,2019,5,Compliant,"POLYGON ((-8475.393649809335 -370860.25910706056, -8368.416360970206 -370860.25910706056, -8368.416360970206 -370753.9338611917, -8475.393649809335 -370753.9338611917, -8475.393649809335 -370860.25910706056))",0.4638669192790985
3,2019-05-09,2019,5,Compliant,"POLYGON ((-8253.618412381256 -371183.7270471256, -8136.128554170235 -371183.7270471256, -8136.128554170235 -371073.70665245224, -8253.618412381256 -371073.70665245224, -8253.618412381256 -371183.7270471256))",0.345344603061676
4,2019-05-09,2019,5,Compliant,"POLYGON ((-8201.866006747461 -370989.4324663552, -8091.08567060145 -370989.4324663552, -8091.08567060145 -370879.49787428067, -8201.866006747461 -370879.49787428067, -8201.866006747461 -370989.4324663552))",0.27834925055503845
5,2019-12-17,2019,12,Compliant,"POLYGON ((-8065.883384895187 -370931.6238069467, -7966.144336461231 -370931.6238069467, -7966.144336461231 -370818.5580362779, -8065.883384895187 -370818.5580362779, -8065.883384895187 -370931.6238069467))",0.5745571851730347
6,2019-05-16,2019,5,Compliant,"POLYGON ((-7875.91273851886 -370746.39333904535, -7765.664338697975 -370746.39333904535, -7765.664338697975 -370638.933993204, -7875.91273851886 -370638.933993204, -7875.91273851886 -370746.39333904535))",0.3795062005519867
7,2019-12-11,2019,12,Compliant,"POLYGON ((-8012.431890937468 -370559.8127492797, -7919.053892299837 -370559.8127492797, -7919.053892299837 -370459.8405946064, -8012.431890937468 -370459.8405946064, -8012.431890937468 -370559.8127492797))",0.6879335045814514
8,2019-12-11,2019,12,Non-Compliant,"POLYGON ((-8050.440787882383 -370411.864931487, -7972.624931648202 -370411.864931487, -7972.624931648202 -370334.04907525284, -8050.440787882383 -370334.04907525284, -8050.440787882383 -370411.864931487))",0.3984273672103882
9,2019-05-16,2019,5,Compliant,"POLYGON ((-8046.35906107848 -370247.8392953137, -7968.543204844299 -370247.8392953137, -7968.543204844299 -370170.0234390795, -8046.35906107848 -370170.0234390795, -8046.35906107848 -370247.8392953137))",0.35707777738571167
10,2019-12-11,2019,12,Compliant,"POLYGON ((-8011.081417932392 -370351.6752359546, -7933.26556169821 -370351.6752359546, -7933.26556169821 -370273.8593797204, -8011.081417932392 -370273.8593797204, -8011.081417932392 -370351.6752359546))",0.5297620892524719
11,2019-12-11,2019,12,Compliant,"POLYGON ((-7972.753858602262 -370302.00881644536, -7881.14245144764 -370302.00881644536, -7881.14245144764 -370206.70486965403, -7972.753858602262 -370206.70486965403, -7972.753858602262 -370302.00881644536))",0.7154002785682678
12,2019-05-16,2019,5,Compliant,"POLYGON ((-8254.676083555065 -370162.91489407147, -8163.988213652844 -370162.91489407147, -8163.988213652844 -370078.17005157017, -8254.676083555065 -370078.17005157017, -8254.676083555065 -370162.91489407147))",0.6593615412712097
13,2019-05-16,2019,5,Compliant,"POLYGON ((-8133.082286751636 -370153.16188149725, -8035.030482072315 -370153.16188149725, -8035.030482072315 -370054.42634403607, -8133.082286751636 -370054.42634403607, -8133.082286751636 -370153.16188149725))",0.5927543044090271
14,2019-12-11,2019,12,Compliant,"POLYGON ((-8185.787086053928 -370009.423582354, -8081.183743404509 -370009.423582354, -8081.183743404509 -369919.0201416722, -8185.787086053928 -369919.0201416722, -8185.787086053928 -370009.423582354))",0.6300331950187683
