inspection_id,Date,year,month,status,geometry,mean_ndvi
13517,2019-09-26,2019,9,Compliant,"POLYGON ((-8274.062870412065 -377746.2390614277, -8200.26484775482 -377746.2390614277, -8200.26484775482 -377668.08396135416, -8274.062870412065 -377668.08396135416, -8274.062870412065 -377746.2390614277))",0.3737807869911194
13518,2019-09-26,2019,9,Compliant,"POLYGON ((-8339.155301801191 -377796.63286411733, -8260.941026338454 -377796.63286411733, -8260.941026338454 -377723.57469142496, -8339.155301801191 -377723.57469142496, -8339.155301801191 -377796.63286411733))",0.2835085690021515
13519,2019-09-26,2019,9,Compliant,"POLYGON ((-8284.290803470603 -377780.67226932384, -8206.474947236422 -377780.67226932384, -8206.474947236422 -377702.85641308967, -8284.290803470603 -377702.85641308967, -8284.290803470603 -377780.67226932384))",0.2874548137187958
13520,2019-09-26,2019,9,Compliant,"POLYGON ((-8305.681380694212 -377769.67749306216, -8236.619863411479 -377769.67749306216, -8236.619863411479 -377701.0826530257, -8305.681380694212 -377701.0826530257, -8305.681380694212 -377769.67749306216))",0.27925509214401245
13521,2019-09-26,2019,9,Compliant,"POLYGON ((-8041.888675484727 -378305.2375992524, -7967.916823479626 -378305.2375992524, -7967.916823479626 -378232.54851411085, -8041.888675484727 -378232.54851411085, -8041.888675484727 -378305.2375992524))",0.39977186918258667
13522,2019-09-26,2019,9,Compliant,"POLYGON ((-7994.223432698248 -378322.788263055, -7916.9826041528295 -378322.788263055, -7916.9826041528295 -378254.37990675215, -7994.223432698248 -378254.37990675215, -7994.223432698248 -378322.788263055))",0.37318724393844604
13523,2019-09-26,2019,9,Compliant,"POLYGON ((-8123.294752088251 -378426.53815580386, -8053.937641008318 -378426.53815580386, -8053.937641008318 -378350.83524629707, -8123.294752088251 -378350.83524629707, -8123.294752088251 -378426.53815580386))",0.3866422176361084
13524,2019-09-26,2019,9,Compliant,"POLYGON ((-8280.688942817076 -378336.1330353554, -8184.291838806489 -378336.1330353554, -8184.291838806489 -378236.76067330624, -8280.688942817076 -378236.76067330624, -8280.688942817076 -378336.1330353554))",0.44314655661582947
13525,2019-09-26,2019,9,Compliant,"POLYGON ((5731.629166312496 -378555.05610007956, 5828.663488943288 -378555.05610007956, 5828.663488943288 -378455.8451208362, 5731.629166312496 -378455.8451208362, 5731.629166312496 -378555.05610007956))",0.26829203963279724
13526,2019-09-26,2019,9,Compliant,"POLYGON ((2355.0979400865453 -378688.31547049386, 2432.220870990741 -378688.31547049386, 2432.220870990741 -378607.06048485474, 2355.0979400865453 -378607.06048485474, 2355.0979400865453 -378688.31547049386))",0.3852264881134033
13527,2019-09-26,2019,9,Compliant,"POLYGON ((1772.9296408129558 -378577.0784579582, 1854.1283471276695 -378577.0784579582, 1854.1283471276695 -378483.2941806882, 1772.9296408129558 -378483.2941806882, 1772.9296408129558 -378577.0784579582))",0.28569191694259644
13528,2019-09-26,2019,9,Compliant,"POLYGON ((-8287.887098968933 -378516.1269432103, -8193.294417274661 -378516.1269432103, -8193.294417274661 -378418.772779789, -8287.887098968933 -378418.772779789, -8287.887098968933 -378516.1269432103))",0.499912291765213
13529,2019-09-26,2019,9,Compliant,"POLYGON ((-8287.951474149077 -378558.04515028, -8204.74525944418 -378558.04515028, -8204.74525944418 -378478.3615486764, -8287.951474149077 -378478.3615486764, -8287.951474149077 -378558.04515028))",0.3237820863723755
